Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AOS,1983-09-30,0.000000,1.125000,1.083333,1.083333,0.465015,18000
AOS,1983-10-03,0.000000,1.090278,1.076389,1.083333,0.465015,18000
AOS,1983-10-04,0.000000,1.076389,1.069444,1.069444,0.459053,21600
AOS,1983-10-05,0.000000,1.062500,0.944444,0.944444,0.405398,127800
AOS,1983-10-06,0.000000,0.965278,0.937500,0.965278,0.414341,118800
AOS,1983-10-07,0.000000,0.958333,0.951389,0.951389,0.408379,37800
AOS,1983-10-10,0.000000,1.027778,0.944444,1.027778,0.441168,104400
AOS,1983-10-11,0.000000,1.048611,1.000000,1.000000,0.429245,75600
AOS,1983-10-12,0.000000,0.972222,0.944444,0.944444,0.405398,84600
AOS,1983-10-13,0.000000,0.951389,0.951389,0.951389,0.408379,14400
AOS,1983-10-14,0.000000,0.944444,0.930556,0.944444,0.405398,50400
AOS,1983-10-17,0.000000,0.958333,0.944444,0.944444,0.405398,54000
AOS,1983-10-18,0.000000,0.937500,0.930556,0.930556,0.399436,7200
AOS,1983-10-19,0.000000,0.944444,0.930556,0.944444,0.405398,28800
AOS,1983-10-20,0.000000,0.930556,0.930556,0.930556,0.399436,5400
AOS,1983-10-21,0.000000,0.923611,0.923611,0.923611,0.396455,1800
AOS,1983-10-24,0.000000,0.916667,0.840278,0.840278,0.360685,54000
AOS,1983-10-25,0.000000,0.833333,0.819444,0.833333,0.357704,30600
AOS,1983-10-26,0.000000,0.826389,0.763889,0.763889,0.327895,169200
AOS,1983-10-27,0.000000,0.763889,0.729167,0.763889,0.327895,117000
AOS,1983-10-28,0.000000,0.847222,0.770833,0.847222,0.363666,153000
AOS,1983-10-31,0.000000,0.854167,0.840278,0.847222,0.363666,45000
AOS,1983-11-01,0.000000,0.847222,0.840278,0.847222,0.363666,23400
AOS,1983-11-02,0.000000,0.854167,0.854167,0.854167,0.366647,3600
AOS,1983-11-03,0.000000,0.854167,0.840278,0.840278,0.360685,12600
AOS,1983-11-04,0.000000,0.833333,0.812500,0.812500,0.348762,16200
AOS,1983-11-07,0.000000,0.805556,0.798611,0.798611,0.342800,9000
AOS,1983-11-08,0.000000,0.812500,0.798611,0.805556,0.345781,9000
AOS,1983-11-09,0.000000,0.812500,0.798611,0.805556,0.345781,12600
AOS,1983-11-10,0.000000,0.847222,0.819444,0.847222,0.363666,41400
AOS,1983-11-11,0.000000,0.875000,0.833333,0.875000,0.375589,27000
AOS,1983-11-14,0.000000,0.944444,0.888889,0.937500,0.402417,171000
AOS,1983-11-15,0.000000,1.000000,0.944444,0.972222,0.417321,131400
AOS,1983-11-16,0.000000,1.020833,0.965278,1.006944,0.432226,86400
AOS,1983-11-17,0.000000,1.020833,0.993056,1.020833,0.438187,43200
AOS,1983-11-18,0.000000,1.020833,1.013889,1.020833,0.438187,39600
AOS,1983-11-21,0.000000,1.048611,1.027778,1.048611,0.450111,37800
AOS,1983-11-22,0.000000,1.062500,1.041667,1.041667,0.447130,14400
AOS,1983-11-23,0.000000,1.027778,1.020833,1.020833,0.438187,23400
AOS,1983-11-25,0.000000,1.006944,0.986111,0.986111,0.423283,30600
AOS,1983-11-28,0.000000,0.986111,0.958333,0.965278,0.414341,21600
AOS,1983-11-29,0.000000,0.965278,0.944444,0.951389,0.408379,18000
AOS,1983-11-30,0.000000,0.965278,0.937500,0.944444,0.405398,68400
AOS,1983-12-01,0.000000,0.930556,0.930556,0.930556,0.399436,5400
AOS,1983-12-02,0.000000,0.923611,0.888889,0.888889,0.381551,12600
AOS,1983-12-05,0.000000,0.916667,0.888889,0.916667,0.393475,21600
AOS,1983-12-06,0.000000,0.916667,0.916667,0.916667,0.393475,5400
AOS,1983-12-07,0.000000,0.916667,0.909722,0.916667,0.393475,16200
AOS,1983-12-08,0.000000,0.916667,0.916667,0.916667,0.393475,9000
AOS,1983-12-09,0.000000,0.916667,0.916667,0.916667,0.393475,14400
AOS,1983-12-12,0.000000,0.979167,0.930556,0.979167,0.420302,52200
AOS,1983-12-13,0.000000,1.041667,0.979167,0.993056,0.426264,104400
AOS,1983-12-14,0.000000,0.972222,0.944444,0.944444,0.405398,50400
AOS,1983-12-15,0.000000,0.951389,0.930556,0.951389,0.408379,36000
AOS,1983-12-16,0.000000,0.937500,0.930556,0.930556,0.399436,21600
AOS,1983-12-19,0.000000,0.944444,0.923611,0.930556,0.399436,102600
AOS,1983-12-20,0.000000,0.972222,0.923611,0.965278,0.414341,25200
AOS,1983-12-21,0.000000,0.972222,0.944444,0.944444,0.405398,27000
AOS,1983-12-22,0.000000,0.944444,0.930556,0.930556,0.399436,32400
AOS,1983-12-23,0.000000,0.951389,0.930556,0.951389,0.408379,10800
AOS,1983-12-27,0.000000,0.972222,0.958333,0.958333,0.411359,37800
AOS,1983-12-28,0.000000,0.965278,0.951389,0.958333,0.411359,48600
AOS,1983-12-29,0.000000,0.965278,0.944444,0.944444,0.405398,18000
AOS,1983-12-30,0.000000,0.972222,0.944444,0.972222,0.417321,19800
AOS,1984-01-03,0.000000,0.965278,0.951389,0.965278,0.414341,30600
AOS,1984-01-04,0.000000,0.965278,0.951389,0.951389,0.408379,41400
AOS,1984-01-05,0.000000,0.965278,0.944444,0.944444,0.405398,113400
AOS,1984-01-06,0.000000,0.944444,0.930556,0.930556,0.399436,16200
AOS,1984-01-09,0.000000,0.909722,0.895833,0.895833,0.384532,48600
AOS,1984-01-10,0.000000,0.937500,0.881944,0.937500,0.402417,91800
AOS,1984-01-11,0.000000,0.958333,0.937500,0.958333,0.411359,28800
AOS,1984-01-12,0.000000,0.958333,0.937500,0.958333,0.411359,21600
AOS,1984-01-13,0.000000,0.958333,0.944444,0.944444,0.405398,27000
AOS,1984-01-16,0.000000,0.951389,0.930556,0.951389,0.408379,19800
AOS,1984-01-17,0.000000,0.958333,0.951389,0.951389,0.408379,30600
AOS,1984-01-18,0.000000,1.006944,0.972222,1.000000,0.429245,255600
AOS,1984-01-19,0.000000,1.027778,1.006944,1.006944,0.432226,30600
AOS,1984-01-20,0.000000,1.000000,0.993056,0.993056,0.426264,18000
AOS,1984-01-23,0.000000,1.000000,1.000000,1.000000,0.429245,9000
AOS,1984-01-24,0.000000,1.006944,0.993056,0.993056,0.426264,27000
AOS,1984-01-25,0.000000,1.013889,0.986111,0.986111,0.423283,63000
AOS,1984-01-26,0.000000,0.993056,0.979167,0.993056,0.426264,41400
AOS,1984-01-27,0.000000,0.986111,0.972222,0.972222,0.417321,28800
AOS,1984-01-30,0.000000,0.986111,0.965278,0.965278,0.414341,19800
AOS,1984-01-31,0.000000,0.958333,0.930556,0.937500,0.402417,75600
AOS,1984-02-01,0.000000,0.930556,0.930556,0.930556,0.399436,5400
AOS,1984-02-02,0.000000,0.944444,0.937500,0.937500,0.402417,9000
AOS,1984-02-03,0.000000,0.951389,0.937500,0.951389,0.408379,10800
AOS,1984-02-06,0.000000,0.944444,0.930556,0.930556,0.399436,16200
AOS,1984-02-07,0.000000,0.930556,0.888889,0.888889,0.381551,118800
AOS,1984-02-08,0.000000,0.888889,0.881944,0.888889,0.381551,5400
AOS,1984-02-09,0.000000,0.888889,0.875000,0.875000,0.375589,19800
AOS,1984-02-10,0.000000,0.888889,0.875000,0.881944,0.378570,16200
AOS,1984-02-13,0.000000,0.875000,0.868056,0.875000,0.375589,50400
AOS,1984-02-14,0.875000,0.875000,0.875000,0.875000,0.375589,0
AOS,1984-02-15,0.000000,0.888889,0.875000,0.875000,0.375589,27000
AOS,1984-02-16,0.000000,0.868056,0.868056,0.868056,0.372609,5400
AOS,1984-02-17,0.000000,0.875000,0.861111,0.861111,0.369627,27000
AOS,1984-02-21,0.000000,0.854167,0.854167,0.854167,0.366647,3600
AOS,1984-02-22,0.000000,0.847222,0.833333,0.847222,0.363666,28800
AOS,1984-02-23,0.000000,0.833333,0.819444,0.819444,0.351742,21600
AOS,1984-02-24,0.000000,0.833333,0.826389,0.833333,0.357704,95400
AOS,1984-02-27,0.000000,0.826389,0.812500,0.819444,0.351742,19800
AOS,1984-02-28,0.000000,0.812500,0.805556,0.805556,0.345781,7200
AOS,1984-02-29,0.000000,0.770833,0.756944,0.770833,0.330876,171000
AOS,1984-03-01,0.000000,0.756944,0.743056,0.743056,0.318953,18000
AOS,1984-03-02,0.000000,0.777778,0.750000,0.763889,0.327895,91800
AOS,1984-03-05,0.000000,0.791667,0.763889,0.791667,0.339819,102600
AOS,1984-03-06,0.000000,0.798611,0.791667,0.791667,0.339819,21600
AOS,1984-03-07,0.000000,0.791667,0.784722,0.784722,0.336838,45000
AOS,1984-03-08,0.000000,0.798611,0.791667,0.798611,0.342800,25200
AOS,1984-03-09,0.000000,0.791667,0.777778,0.791667,0.339819,12600
AOS,1984-03-12,0.000000,0.777778,0.777778,0.777778,0.333857,7200
AOS,1984-03-13,0.000000,0.791667,0.791667,0.791667,0.339819,10800
AOS,1984-03-14,0.000000,0.784722,0.784722,0.784722,0.336838,12600
